n,Number of Operations
571,6207920
572,6229660
573,6251438
574,6273254
575,6295108
576,6317000
577,6338930
578,6360898
579,6382904
580,6404948
581,6427030
582,6449150
583,6471308
584,6493504
585,6515738
586,6538010
587,6560320
588,6582668
589,6605054
590,6627478
591,6649940
592,6672440
593,6694978
594,6717554
595,6740168
596,6762820
597,6785510
598,6808238
599,6831004
600,6853808
601,6876650
602,6899530
603,6922448
604,6945404
605,6968398
606,6991430
607,7014500
608,7037608
609,7060754
610,7083938
611,7107160
612,7130420
613,7153718
614,7177054
615,7200428
616,7223840
617,7247290
618,7270778
619,7294304
620,7317868
621,7341470
622,7365110
623,7388788
624,7412504
625,7436258
626,7460050
627,7483880
628,7507748
629,7531654
630,7555598
631,7579580
632,7603600
633,7627658
634,7651754
635,7675888
636,7700060
637,7724270
638,7748518
639,7772804
640,7797128
641,7821490
642,7845890
643,7870328
644,7894804
645,7919318
646,7943870
647,7968460
648,7993088
649,8017754
650,8042458
651,8067200
652,8091980
653,8116798
654,8141654
655,8166548
656,8191480
657,8216450
658,8241458
659,8266504
660,8291588
661,8316710
662,8341870
663,8367068
664,8392304
665,8417578
666,8442890
667,8468240
668,8493628
669,8519054
670,8544518
671,8570020
672,8595560
673,8621138
674,8646754
675,8672408
676,8698100
677,8723830
678,8749598
679,8775404
680,8801248
681,8827130
682,8853050
683,8879008
684,8905004
685,8931038
686,8957110
687,8983220
688,9009368
689,9035554
690,9061778
691,9088040
692,9114340
693,9140678
694,9167054
695,9193468
696,9219920
697,9246410
698,9272938
699,9299504
700,9326108
701,9352750
702,9379430
703,9406148
704,9432904
705,9459698
706,9486530
707,9513400
708,9540308
709,9567254
710,9594238
711,9621260
712,9648320
713,9675418
714,9702554
715,9729728
716,9756940
717,9784190
718,9811478
719,9838804
720,9866168
721,9893570
722,9921010
723,9948488
724,9976004
725,10003558
726,10031150
727,10058780
728,10086448
729,10114154
730,10141898
731,10169680
732,10197500
733,10225358
734,10253254
735,10281188
736,10309160
737,10337170
738,10365218
739,10393304
740,10421428
741,10449590
742,10477790
743,10506028
744,10534304
745,10562618
746,10590970
747,10619360
748,10647788
749,10676254
750,10704758
751,10733300
752,10761880
753,10790498
754,10819154
755,10847848
756,10876580
757,10905350
758,10934158
759,10963004
760,10991888
761,11020810
762,11049770
763,11078768
764,11107804
765,11136878
766,11165990
767,11195140
768,11224328
769,11253554
770,11282818
771,11312120
772,11341460
773,11370838
774,11400254
775,11429708
776,11459200
777,11488730
778,11518298
779,11547904
780,11577548
781,11607230
782,11636950
783,11666708
784,11696504
785,11726338
786,11756210
787,11786120
788,11816068
789,11846054
790,11876078
791,11906140
792,11936240
793,11966378
794,11996554
795,12026768
796,12057020
797,12087310
798,12117638
799,12148004
800,12178408
801,12208850
802,12239330
803,12269848
804,12300404
805,12330998
806,12361630
807,12392300
808,12423008
809,12453754
810,12484538
811,12515360
812,12546220
813,12577118
814,12608054
815,12639028
816,12670040
817,12701090
