n,Number of Operations
592,2160505
593,2156391
594,2167021
595,2166439
596,2179485
597,2179631
598,2193775
599,2193803
600,2214479
601,2207957
602,2215343
603,2217363
604,2232219
605,2230107
606,2244041
607,2241953
608,2269783
609,2259349
610,2271145
611,2268495
612,2285305
613,2279441
614,2290795
615,2289241
616,2311125
617,2307581
618,2319487
619,2317029
620,2336171
621,2334417
622,2348343
623,2345199
624,2371775
625,2366113
626,2379259
627,2374919
628,2392505
629,2390981
630,2404159
631,2403707
632,2425781
633,2422697
634,2436457
635,2435637
636,2455331
637,2451341
638,2466017
639,2462123
640,2490551
641,2481837
642,2493623
643,2488173
644,2504845
645,2504227
646,2517389
647,2517665
648,2538913
649,2539547
650,2553359
651,2553589
652,2574171
653,2573317
654,2586887
655,2584757
656,2612523
657,2610651
658,2624569
659,2619017
660,2641073
661,2642385
662,2657197
663,2653681
664,2679773
665,2675665
666,2688255
667,2684753
668,2706591
669,2708365
670,2726125
671,2720949
672,2748245
673,2741623
674,2751063
675,2746731
676,2765745
677,2762157
678,2776217
679,2772837
680,2797109
681,2792551
682,2805897
683,2801205
684,2822225
685,2819099
686,2833093
687,2832321
688,2860035
689,2851089
690,2862981
691,2858585
692,2880281
693,2878063
694,2892361
695,2888133
696,2915733
697,2912125
698,2929387
699,2922071
700,2946645
701,2944167
702,2958719
703,2954209
704,2985967
705,2969677
706,2979695
707,2968497
708,2987287
709,2982219
710,2992815
711,2986707
712,3013609
713,3006391
714,3019505
715,3013105
716,3037301
717,3033715
718,3047669
719,3042319
720,3072989
721,3060155
722,3070727
723,3061783
724,3083885
725,3078257
726,3092481
727,3087027
728,3114137
729,3107765
730,3121509
731,3116565
732,3139795
733,3137789
734,3155203
735,3150789
736,3180343
737,3166359
738,3174685
739,3168557
740,3189247
741,3187401
742,3205181
743,3203195
744,3230749
745,3225107
746,3238279
747,3236253
748,3262299
749,3256281
750,3271801
751,3272317
752,3302585
753,3290211
754,3305229
755,3301275
756,3324177
757,3320375
758,3336573
759,3335777
760,3363267
761,3355519
762,3369717
763,3370495
764,3394087
765,3391399
766,3410629
767,3404941
768,3439475
769,3424577
770,3429767
771,3424593
772,3449223
773,3442195
774,3459667
775,3456177
776,3483761
777,3476597
778,3493195
779,3491621
780,3516309
781,3513433
782,3531535
783,3534227
784,3565429
785,3551601
786,3565173
787,3564023
788,3588017
789,3581915
790,3598741
791,3594619
792,3626003
793,3615599
794,3629695
795,3623815
796,3650529
797,3647893
798,3665015
799,3662391
800,3698905
801,3682643
802,3699205
803,3689181
804,3714181
805,3705641
806,3720277
807,3718241
808,3749091
809,3740713
810,3755283
811,3748335
812,3774381
813,3772763
814,3788293
815,3784111
816,3816241
817,3806299
818,3819455
819,3817883
820,3843369
821,3840273
822,3860561
823,3861945
824,3891521
825,3890883
826,3910289
827,3909293
828,3935867
829,3932735
830,3950977
831,3947783
832,3981789
833,3970707
834,3983343
835,3978433
836,3999525
837,3998197
838,4016341
839,4015051
840,4043611
841,4037595
842,4053809
843,4053295
844,4079257
845,4077527
846,4096963
847,4092397
848,4125013
849,4114733
850,4125895
851,4118463
852,4144335
853,4140557
854,4157407
855,4156363
856,4184535
857,4177853
858,4195015
859,4194055
860,4220793
861,4221263
862,4240683
863,4240611
864,4274851
865,4260187
866,4270401
867,4265543
868,4291521
869,4286075
870,4301589
871,4303291
872,4337321
873,4323581
874,4343269
875,4335413
876,4363267
877,4357271
878,4374987
879,4372385
880,4408419
881,4396457
882,4408087
883,4400131
884,4431367
885,4423325
886,4437351
887,4433145
888,4465445
889,4452473
890,4471623
891,4463533
892,4494085
893,4494087
894,4513335
895,4504113
896,4542021
897,4517325
898,4525827
899,4509519
900,4532407
901,4519593
902,4532305
903,4529183
904,4559891
905,4542545
906,4558077
907,4549729
908,4576993
909,4567619
910,4583371
911,4578703
912,4618279
913,4603005
914,4615275
915,4604911
916,4635569
917,4629465
918,4645521
919,4641467
920,4674323
921,4663067
922,4680409
923,4674647
924,4701025
925,4700005
926,4720787
927,4720499
928,4757269
929,4743059
930,4753907
931,4746357
932,4777365
933,4772169
934,4789535
935,4786917
936,4822807
937,4812061
938,4830623
939,4824539
940,4851913
941,4847215
942,4863899
943,4865403
944,4901983
945,4886635
946,4899335
947,4892663
948,4923985
949,4917813
950,4932821
951,4927985
952,4961781
953,4951329
954,4970413
955,4962771
956,4990677
957,4988859
958,5005485
959,5002937
960,5039063
961,5016529
962,5026875
963,5017055
964,5041013
965,5032463
966,5047167
967,5042237
968,5072179
969,5061209
970,5073923
971,5066617
972,5093581
973,5085561
974,5098583
975,5097167
976,5131437
977,5116067
978,5131903
979,5120337
980,5148269
981,5139769
982,5152297
983,5145243
984,5175443
985,5162677
986,5176499
987,5170127
988,5192509
989,5189727
990,5207401
991,5197775
992,5231051
993,5214357
994,5221147
995,5211007
996,5233397
997,5221995
998,5237325
999,5229639
1000,5258005
